Data,Nazwa stacji,Lokalizacja,Województwo,Temperatura wody[°C]
2023-05-07,WYSPA POKRZYWKA,Jez. ostrowite,zachodniopomorskie,12.0
2023-05-07,BUNTOWO,Jez. Sławianowskie,wielkopolskie,11.6
2023-05-07,NAKIELNO,Jez. Bytyń Wielki,zachodniopomorskie,11.4
2023-05-07,JASIEŃ,Jez. Jasień Pd.,pomorskie,11.4
2023-05-07,KRONOWO,Jez. Dejguny,warmińsko-mazurskie,10.2
2023-05-07,JEZIORNA,Jez. Wdzydze,pomorskie,brak danych
2023-05-07,CHARZYKOWY,Jez. Charzykowskie,pomorskie,brak danych
2023-05-07,SĘPÓLNO KRAJEŃSKIE,Jez. Sępoleńskie,kujawsko-pomorskie,brak danych
2023-05-07,PRZYJEZIERZE,Jez. Morzycko,zachodniopomorskie,12.2
2023-05-07,PRZEŁAZY,Jez. Niesłysz,lubuskie,13.4
2023-05-07,RADZYŃ,Jez. Sławskie,lubuskie,12.2
2023-05-07,KRUSZWICA,Jez. Gopło,kujawsko-pomorskie,13.3
2023-05-07,POWIDZ,Jez. Powidzkie,wielkopolskie,11.4
2023-05-07,IŁAWA,Jez. Jeziorak,warmińsko-mazurskie,12.9
2023-05-07,BACHOTEK,Jez. Bachotek,kujawsko-pomorskie,12.8
2023-05-07,BORUCINO,Jez. Raduńskie Górne,pomorskie,brak danych
2023-05-08,EŁK,Jez. Ełckie,warmińsko-mazurskie,11.7
2023-05-08,BORKI,Jez. Litygajno,warmińsko-mazurskie,12.2
